t_ms,raw,subject,gesture
10325444,1255,s1,rest_v6
10325446,1285,s1,rest_v6
10325448,1278,s1,rest_v6
10325450,1299,s1,rest_v6
10325452,1257,s1,rest_v6
10325454,1283,s1,rest_v6
10325456,1271,s1,rest_v6
10325458,1307,s1,rest_v6
10325460,1270,s1,rest_v6
10325462,1286,s1,rest_v6
10325464,1263,s1,rest_v6
10325466,1305,s1,rest_v6
10325468,1278,s1,rest_v6
10325470,1264,s1,rest_v6
10325472,1264,s1,rest_v6
10325474,1305,s1,rest_v6
10325476,1291,s1,rest_v6
10325478,1264,s1,rest_v6
10325480,1269,s1,rest_v6
10325482,1297,s1,rest_v6
10325484,1296,s1,rest_v6
10325486,1250,s1,rest_v6
10325488,1276,s1,rest_v6
10325490,1287,s1,rest_v6
10325492,1296,s1,rest_v6
10325494,1249,s1,rest_v6
10325496,1283,s1,rest_v6
10325498,1274,s1,rest_v6
10325500,1297,s1,rest_v6
10325502,1256,s1,rest_v6
10325504,1283,s1,rest_v6
10325506,1272,s1,rest_v6
10325508,1301,s1,rest_v6
10325510,1268,s1,rest_v6
10325512,1281,s1,rest_v6
10325514,1259,s1,rest_v6
10325516,1303,s1,rest_v6
10325518,1276,s1,rest_v6
10325520,1264,s1,rest_v6
10325522,1264,s1,rest_v6
10325524,1297,s1,rest_v6
10325526,1281,s1,rest_v6
10325528,1262,s1,rest_v6
10325530,1267,s1,rest_v6
10325532,1296,s1,rest_v6
10325534,1296,s1,rest_v6
10325536,1257,s1,rest_v6
10325538,1280,s1,rest_v6
10325540,1293,s1,rest_v6
10325542,1301,s1,rest_v6
10325544,1255,s1,rest_v6
10325546,1291,s1,rest_v6
10325548,1280,s1,rest_v6
10325550,1305,s1,rest_v6
10325552,1259,s1,rest_v6
10325554,1283,s1,rest_v6
10325556,1274,s1,rest_v6
10325558,1307,s1,rest_v6
10325560,1271,s1,rest_v6
10325562,1280,s1,rest_v6
10325564,1262,s1,rest_v6
10325566,1306,s1,rest_v6
10325568,1277,s1,rest_v6
10325570,1264,s1,rest_v6
10325572,1264,s1,rest_v6
10325574,1307,s1,rest_v6
10325576,1286,s1,rest_v6
10325578,1263,s1,rest_v6
10325580,1270,s1,rest_v6
10325582,1296,s1,rest_v6
10325584,1294,s1,rest_v6
10325586,1257,s1,rest_v6
10325588,1280,s1,rest_v6
10325590,1296,s1,rest_v6
10325592,1298,s1,rest_v6
10325594,1258,s1,rest_v6
10325596,1290,s1,rest_v6
10325598,1286,s1,rest_v6
10325600,1307,s1,rest_v6
10325602,1264,s1,rest_v6
10325604,1292,s1,rest_v6
10325606,1279,s1,rest_v6
10325608,1308,s1,rest_v6
10325610,1274,s1,rest_v6
10325612,1282,s1,rest_v6
10325614,1264,s1,rest_v6
10325616,1309,s1,rest_v6
10325618,1283,s1,rest_v6
10325620,1267,s1,rest_v6
10325622,1267,s1,rest_v6
10325624,1305,s1,rest_v6
10325626,1287,s1,rest_v6
10325628,1265,s1,rest_v6
10325630,1270,s1,rest_v6
10325632,1296,s1,rest_v6
10325634,1293,s1,rest_v6
