t_ms,raw,subject,gesture
4035676,205,s1,rest_v5
4035678,193,s1,rest_v5
4035680,192,s1,rest_v5
4035682,192,s1,rest_v5
4035684,205,s1,rest_v5
4035686,197,s1,rest_v5
4035688,186,s1,rest_v5
4035690,185,s1,rest_v5
4035692,198,s1,rest_v5
4035694,190,s1,rest_v5
4035696,192,s1,rest_v5
4035698,183,s1,rest_v5
4035700,196,s1,rest_v5
4035702,193,s1,rest_v5
4035704,190,s1,rest_v5
4035706,191,s1,rest_v5
4035708,197,s1,rest_v5
4035710,194,s1,rest_v5
4035712,192,s1,rest_v5
4035714,191,s1,rest_v5
4035716,195,s1,rest_v5
4035718,198,s1,rest_v5
4035720,189,s1,rest_v5
4035722,186,s1,rest_v5
4035724,191,s1,rest_v5
4035726,203,s1,rest_v5
4035728,194,s1,rest_v5
4035730,190,s1,rest_v5
4035732,190,s1,rest_v5
4035734,199,s1,rest_v5
4035736,191,s1,rest_v5
4035738,185,s1,rest_v5
4035740,186,s1,rest_v5
4035742,199,s1,rest_v5
4035744,195,s1,rest_v5
4035746,191,s1,rest_v5
4035748,189,s1,rest_v5
4035750,201,s1,rest_v5
4035752,193,s1,rest_v5
4035754,191,s1,rest_v5
4035756,185,s1,rest_v5
4035758,197,s1,rest_v5
4035760,195,s1,rest_v5
4035762,191,s1,rest_v5
4035764,188,s1,rest_v5
4035766,196,s1,rest_v5
4035768,195,s1,rest_v5
4035770,191,s1,rest_v5
4035772,190,s1,rest_v5
4035774,191,s1,rest_v5
4035776,196,s1,rest_v5
4035778,189,s1,rest_v5
4035780,185,s1,rest_v5
4035782,192,s1,rest_v5
4035784,202,s1,rest_v5
4035786,190,s1,rest_v5
4035788,192,s1,rest_v5
4035790,192,s1,rest_v5
4035792,206,s1,rest_v5
4035794,200,s1,rest_v5
4035796,198,s1,rest_v5
4035798,193,s1,rest_v5
4035800,207,s1,rest_v5
4035802,193,s1,rest_v5
4035804,192,s1,rest_v5
4035806,192,s1,rest_v5
4035808,202,s1,rest_v5
4035810,207,s1,rest_v5
4035812,199,s1,rest_v5
4035814,195,s1,rest_v5
4035816,206,s1,rest_v5
4035818,205,s1,rest_v5
4035820,197,s1,rest_v5
4035822,193,s1,rest_v5
4035824,199,s1,rest_v5
4035826,208,s1,rest_v5
4035828,198,s1,rest_v5
4035830,195,s1,rest_v5
4035832,198,s1,rest_v5
4035834,207,s1,rest_v5
4035836,199,s1,rest_v5
4035838,198,s1,rest_v5
4035840,192,s1,rest_v5
4035842,208,s1,rest_v5
4035844,199,s1,rest_v5
4035846,196,s1,rest_v5
4035848,189,s1,rest_v5
4035850,206,s1,rest_v5
4035852,199,s1,rest_v5
4035854,196,s1,rest_v5
4035856,191,s1,rest_v5
4035858,201,s1,rest_v5
4035860,199,s1,rest_v5
4035862,194,s1,rest_v5
4035864,192,s1,rest_v5
4035866,197,s1,rest_v5
4035868,203,s1,rest_v5
4035870,192,s1,rest_v5
4035872,194,s1,rest_v5
4035874,192,s1,rest_v5
4035876,200,s1,rest_v5
4035878,194,s1,rest_v5
4035880,192,s1,rest_v5
4035882,190,s1,rest_v5
4035884,206,s1,rest_v5
4035886,196,s1,rest_v5
4035888,192,s1,rest_v5
4035890,189,s1,rest_v5
4035892,205,s1,rest_v5
4035894,195,s1,rest_v5
4035896,192,s1,rest_v5
4035898,191,s1,rest_v5
4035900,197,s1,rest_v5
4035902,194,s1,rest_v5
4035904,193,s1,rest_v5
4035906,187,s1,rest_v5
4035908,198,s1,rest_v5
4035910,203,s1,rest_v5
4035912,192,s1,rest_v5
4035914,193,s1,rest_v5
4035916,199,s1,rest_v5
4035918,202,s1,rest_v5
4035920,196,s1,rest_v5
4035922,195,s1,rest_v5
4035924,196,s1,rest_v5
4035926,207,s1,rest_v5
4035928,199,s1,rest_v5
4035930,194,s1,rest_v5
4035932,197,s1,rest_v5
4035934,209,s1,rest_v5
4035936,197,s1,rest_v5
4035938,196,s1,rest_v5
4035940,191,s1,rest_v5
4035942,208,s1,rest_v5
4035944,199,s1,rest_v5
4035946,197,s1,rest_v5
4035948,192,s1,rest_v5
4035950,201,s1,rest_v5
4035952,196,s1,rest_v5
4035954,197,s1,rest_v5
4035956,192,s1,rest_v5
4035958,204,s1,rest_v5
4035960,202,s1,rest_v5
4035962,194,s1,rest_v5
4035964,196,s1,rest_v5
4035966,202,s1,rest_v5
4035968,207,s1,rest_v5
4035970,194,s1,rest_v5
4035972,194,s1,rest_v5
4035974,193,s1,rest_v5
4035976,205,s1,rest_v5
4035978,198,s1,rest_v5
4035980,194,s1,rest_v5
4035982,192,s1,rest_v5
4035984,206,s1,rest_v5
4035986,194,s1,rest_v5
4035988,192,s1,rest_v5
4035990,189,s1,rest_v5
4035992,203,s1,rest_v5
4035994,196,s1,rest_v5
4035996,190,s1,rest_v5
4035998,192,s1,rest_v5
4036000,202,s1,rest_v5
4036002,193,s1,rest_v5
4036004,190,s1,rest_v5
4036006,190,s1,rest_v5
4036008,202,s1,rest_v5
4036010,196,s1,rest_v5
4036012,192,s1,rest_v5
4036014,190,s1,rest_v5
4036016,199,s1,rest_v5
4036018,197,s1,rest_v5
4036020,192,s1,rest_v5
4036022,193,s1,rest_v5
4036024,194,s1,rest_v5
4036026,200,s1,rest_v5
4036028,196,s1,rest_v5
4036030,192,s1,rest_v5
4036032,191,s1,rest_v5
4036034,206,s1,rest_v5
4036036,194,s1,rest_v5
4036038,193,s1,rest_v5
4036040,189,s1,rest_v5
4036042,205,s1,rest_v5
4036044,201,s1,rest_v5
4036046,196,s1,rest_v5
4036048,192,s1,rest_v5
4036050,205,s1,rest_v5
4036052,200,s1,rest_v5
4036054,192,s1,rest_v5
4036056,194,s1,rest_v5
4036058,203,s1,rest_v5
4036060,201,s1,rest_v5
4036062,197,s1,rest_v5
4036064,195,s1,rest_v5
4036066,199,s1,rest_v5
4036068,205,s1,rest_v5
4036070,196,s1,rest_v5
4036072,196,s1,rest_v5
4036074,201,s1,rest_v5
4036076,208,s1,rest_v5
4036078,199,s1,rest_v5
4036080,195,s1,rest_v5
