t_ms,raw,subject,gesture
4060352,1345,s1,grip_v5
4060354,1344,s1,grip_v5
4060356,1342,s1,grip_v5
4060358,1316,s1,grip_v5
4060360,1282,s1,grip_v5
4060362,1241,s1,grip_v5
4060364,1216,s1,grip_v5
4060366,1174,s1,grip_v5
4060368,1231,s1,grip_v5
4060370,1349,s1,grip_v5
4060372,1348,s1,grip_v5
4060374,1488,s1,grip_v5
4060376,1535,s1,grip_v5
4060378,1501,s1,grip_v5
4060380,1456,s1,grip_v5
4060382,1416,s1,grip_v5
4060384,1407,s1,grip_v5
4060386,1411,s1,grip_v5
4060388,1360,s1,grip_v5
4060390,1363,s1,grip_v5
4060392,1380,s1,grip_v5
4060394,1349,s1,grip_v5
4060396,1325,s1,grip_v5
4060398,1328,s1,grip_v5
4060400,1280,s1,grip_v5
4060402,1222,s1,grip_v5
4060404,1172,s1,grip_v5
4060406,1150,s1,grip_v5
4060408,1099,s1,grip_v5
4060410,1058,s1,grip_v5
4060412,1023,s1,grip_v5
4060414,995,s1,grip_v5
4060416,982,s1,grip_v5
4060418,960,s1,grip_v5
4060420,930,s1,grip_v5
4060422,934,s1,grip_v5
4060424,915,s1,grip_v5
4060426,880,s1,grip_v5
4060428,845,s1,grip_v5
4060430,863,s1,grip_v5
4060432,919,s1,grip_v5
4060434,923,s1,grip_v5
4060436,999,s1,grip_v5
4060438,989,s1,grip_v5
4060440,959,s1,grip_v5
4060442,930,s1,grip_v5
4060444,889,s1,grip_v5
4060446,853,s1,grip_v5
4060448,861,s1,grip_v5
4060450,901,s1,grip_v5
4060452,944,s1,grip_v5
4060454,950,s1,grip_v5
4060456,1022,s1,grip_v5
4060458,1103,s1,grip_v5
4060460,1083,s1,grip_v5
4060462,1044,s1,grip_v5
4060464,1018,s1,grip_v5
4060466,1011,s1,grip_v5
4060468,979,s1,grip_v5
4060470,976,s1,grip_v5
4060472,945,s1,grip_v5
4060474,922,s1,grip_v5
4060476,887,s1,grip_v5
4060478,874,s1,grip_v5
4060480,831,s1,grip_v5
4060482,855,s1,grip_v5
4060484,978,s1,grip_v5
4060486,983,s1,grip_v5
4060488,1018,s1,grip_v5
4060490,1056,s1,grip_v5
4060492,1039,s1,grip_v5
4060494,1013,s1,grip_v5
4060496,966,s1,grip_v5
4060498,931,s1,grip_v5
4060500,901,s1,grip_v5
4060502,899,s1,grip_v5
4060504,867,s1,grip_v5
4060506,858,s1,grip_v5
4060508,846,s1,grip_v5
4060510,849,s1,grip_v5
4060512,817,s1,grip_v5
4060514,823,s1,grip_v5
4060516,807,s1,grip_v5
4060518,774,s1,grip_v5
4060520,789,s1,grip_v5
4060522,774,s1,grip_v5
4060524,752,s1,grip_v5
4060526,721,s1,grip_v5
4060528,723,s1,grip_v5
4060530,711,s1,grip_v5
4060532,799,s1,grip_v5
4060534,837,s1,grip_v5
4060536,861,s1,grip_v5
4060538,866,s1,grip_v5
4060540,831,s1,grip_v5
4060542,829,s1,grip_v5
4060544,853,s1,grip_v5
4060546,822,s1,grip_v5
4060548,790,s1,grip_v5
4060550,875,s1,grip_v5
4060552,894,s1,grip_v5
4060554,869,s1,grip_v5
4060556,865,s1,grip_v5
4060558,850,s1,grip_v5
4060560,890,s1,grip_v5
4060562,852,s1,grip_v5
4060564,863,s1,grip_v5
4060566,877,s1,grip_v5
4060568,907,s1,grip_v5
4060570,925,s1,grip_v5
4060572,912,s1,grip_v5
