t_ms,raw,subject,gesture
10550772,2218,s1,rest_v7
10550774,2238,s1,rest_v7
10550776,2193,s1,rest_v7
10550778,2240,s1,rest_v7
10550780,2208,s1,rest_v7
10550782,2235,s1,rest_v7
10550784,2206,s1,rest_v7
10550786,2222,s1,rest_v7
10550788,2213,s1,rest_v7
10550790,2230,s1,rest_v7
10550792,2213,s1,rest_v7
10550794,2202,s1,rest_v7
10550796,2224,s1,rest_v7
10550798,2230,s1,rest_v7
10550800,2219,s1,rest_v7
10550802,2192,s1,rest_v7
10550804,2234,s1,rest_v7
10550806,2227,s1,rest_v7
10550808,2227,s1,rest_v7
10550810,2186,s1,rest_v7
10550812,2244,s1,rest_v7
10550814,2218,s1,rest_v7
10550816,2230,s1,rest_v7
10550818,2182,s1,rest_v7
10550820,2250,s1,rest_v7
10550822,2214,s1,rest_v7
10550824,2240,s1,rest_v7
10550826,2198,s1,rest_v7
10550828,2246,s1,rest_v7
10550830,2209,s1,rest_v7
10550832,2239,s1,rest_v7
10550834,2209,s1,rest_v7
10550836,2224,s1,rest_v7
10550838,2215,s1,rest_v7
10550840,2234,s1,rest_v7
10550842,2215,s1,rest_v7
10550844,2209,s1,rest_v7
10550846,2230,s1,rest_v7
10550848,2235,s1,rest_v7
10550850,2224,s1,rest_v7
10550852,2193,s1,rest_v7
10550854,2240,s1,rest_v7
10550856,2231,s1,rest_v7
10550858,2229,s1,rest_v7
10550860,2190,s1,rest_v7
10550862,2246,s1,rest_v7
10550864,2221,s1,rest_v7
10550866,2233,s1,rest_v7
10550868,2190,s1,rest_v7
10550870,2251,s1,rest_v7
10550872,2219,s1,rest_v7
10550874,2239,s1,rest_v7
10550876,2195,s1,rest_v7
10550878,2239,s1,rest_v7
10550880,2207,s1,rest_v7
10550882,2234,s1,rest_v7
10550884,2203,s1,rest_v7
10550886,2220,s1,rest_v7
10550888,2210,s1,rest_v7
10550890,2231,s1,rest_v7
10550892,2214,s1,rest_v7
10550894,2207,s1,rest_v7
10550896,2229,s1,rest_v7
10550898,2233,s1,rest_v7
10550900,2223,s1,rest_v7
10550902,2192,s1,rest_v7
10550904,2239,s1,rest_v7
10550906,2230,s1,rest_v7
10550908,2229,s1,rest_v7
10550910,2185,s1,rest_v7
10550912,2250,s1,rest_v7
10550914,2218,s1,rest_v7
10550916,2231,s1,rest_v7
10550918,2182,s1,rest_v7
10550920,2247,s1,rest_v7
10550922,2211,s1,rest_v7
10550924,2239,s1,rest_v7
10550926,2193,s1,rest_v7
10550928,2240,s1,rest_v7
10550930,2207,s1,rest_v7
10550932,2231,s1,rest_v7
10550934,2205,s1,rest_v7
10550936,2215,s1,rest_v7
10550938,2215,s1,rest_v7
10550940,2237,s1,rest_v7
10550942,2218,s1,rest_v7
10550944,2198,s1,rest_v7
10550946,2224,s1,rest_v7
10550948,2226,s1,rest_v7
10550950,2219,s1,rest_v7
10550952,2187,s1,rest_v7
10550954,2235,s1,rest_v7
10550956,2223,s1,rest_v7
10550958,2224,s1,rest_v7
10550960,2178,s1,rest_v7
10550962,2240,s1,rest_v7
10550964,2209,s1,rest_v7
10550966,2225,s1,rest_v7
10550968,2180,s1,rest_v7
10550970,2242,s1,rest_v7
10550972,2206,s1,rest_v7
10550974,2230,s1,rest_v7
10550976,2190,s1,rest_v7
10550978,2236,s1,rest_v7
10550980,2203,s1,rest_v7
10550982,2234,s1,rest_v7
10550984,2197,s1,rest_v7
10550986,2214,s1,rest_v7
10550988,2211,s1,rest_v7
10550990,2235,s1,rest_v7
10550992,2210,s1,rest_v7
10550994,2198,s1,rest_v7
10550996,2224,s1,rest_v7
10550998,2225,s1,rest_v7
10551000,2220,s1,rest_v7
10551002,2181,s1,rest_v7
10551004,2231,s1,rest_v7
10551006,2215,s1,rest_v7
10551008,2224,s1,rest_v7
10551010,2176,s1,rest_v7
10551012,2242,s1,rest_v7
10551014,2211,s1,rest_v7
10551016,2230,s1,rest_v7
10551018,2185,s1,rest_v7
10551020,2242,s1,rest_v7
10551022,2209,s1,rest_v7
10551024,2231,s1,rest_v7
10551026,2194,s1,rest_v7
10551028,2237,s1,rest_v7
10551030,2209,s1,rest_v7
10551032,2236,s1,rest_v7
10551034,2202,s1,rest_v7
10551036,2209,s1,rest_v7
10551038,2209,s1,rest_v7
10551040,2229,s1,rest_v7
10551042,2213,s1,rest_v7
10551044,2199,s1,rest_v7
10551046,2224,s1,rest_v7
10551048,2224,s1,rest_v7
10551050,2224,s1,rest_v7
10551052,2189,s1,rest_v7
10551054,2238,s1,rest_v7
10551056,2223,s1,rest_v7
10551058,2224,s1,rest_v7
10551060,2182,s1,rest_v7
10551062,2246,s1,rest_v7
10551064,2215,s1,rest_v7
10551066,2226,s1,rest_v7
10551068,2185,s1,rest_v7
10551070,2249,s1,rest_v7
10551072,2215,s1,rest_v7
10551074,2235,s1,rest_v7
10551076,2198,s1,rest_v7
10551078,2239,s1,rest_v7
10551080,2210,s1,rest_v7
10551082,2237,s1,rest_v7
10551084,2208,s1,rest_v7
10551086,2219,s1,rest_v7
10551088,2214,s1,rest_v7
10551090,2234,s1,rest_v7
10551092,2221,s1,rest_v7
10551094,2203,s1,rest_v7
10551096,2226,s1,rest_v7
10551098,2230,s1,rest_v7
10551100,2224,s1,rest_v7
10551102,2192,s1,rest_v7
10551104,2241,s1,rest_v7
10551106,2225,s1,rest_v7
10551108,2235,s1,rest_v7
10551110,2189,s1,rest_v7
10551112,2250,s1,rest_v7
10551114,2219,s1,rest_v7
10551116,2235,s1,rest_v7
10551118,2192,s1,rest_v7
10551120,2254,s1,rest_v7
10551122,2218,s1,rest_v7
10551124,2239,s1,rest_v7
10551126,2203,s1,rest_v7
10551128,2241,s1,rest_v7
10551130,2213,s1,rest_v7
10551132,2242,s1,rest_v7
10551134,2212,s1,rest_v7
10551136,2218,s1,rest_v7
10551138,2221,s1,rest_v7
10551140,2237,s1,rest_v7
10551142,2223,s1,rest_v7
10551144,2207,s1,rest_v7
10551146,2235,s1,rest_v7
10551148,2238,s1,rest_v7
10551150,2229,s1,rest_v7
10551152,2192,s1,rest_v7
10551154,2244,s1,rest_v7
10551156,2224,s1,rest_v7
10551158,2235,s1,rest_v7
10551160,2190,s1,rest_v7
10551162,2255,s1,rest_v7
10551164,2220,s1,rest_v7
10551166,2236,s1,rest_v7
10551168,2191,s1,rest_v7
10551170,2251,s1,rest_v7
10551172,2213,s1,rest_v7
10551174,2239,s1,rest_v7
10551176,2197,s1,rest_v7
10551178,2234,s1,rest_v7
10551180,2210,s1,rest_v7
10551182,2237,s1,rest_v7
10551184,2209,s1,rest_v7
10551186,2210,s1,rest_v7
10551188,2219,s1,rest_v7
10551190,2238,s1,rest_v7
10551192,2215,s1,rest_v7
10551194,2198,s1,rest_v7
10551196,2227,s1,rest_v7
10551198,2227,s1,rest_v7
10551200,2222,s1,rest_v7
10551202,2187,s1,rest_v7
10551204,2238,s1,rest_v7
10551206,2224,s1,rest_v7
10551208,2233,s1,rest_v7
10551210,2187,s1,rest_v7
10551212,2254,s1,rest_v7
10551214,2222,s1,rest_v7
10551216,2238,s1,rest_v7
10551218,2193,s1,rest_v7
10551220,2254,s1,rest_v7
10551222,2219,s1,rest_v7
10551224,2241,s1,rest_v7
10551226,2202,s1,rest_v7
10551228,2237,s1,rest_v7
10551230,2210,s1,rest_v7
10551232,2239,s1,rest_v7
10551234,2214,s1,rest_v7
10551236,2214,s1,rest_v7
10551238,2224,s1,rest_v7
10551240,2237,s1,rest_v7
10551242,2221,s1,rest_v7
10551244,2205,s1,rest_v7
10551246,2238,s1,rest_v7
10551248,2229,s1,rest_v7
10551250,2225,s1,rest_v7
10551252,2192,s1,rest_v7
10551254,2246,s1,rest_v7
10551256,2224,s1,rest_v7
10551258,2234,s1,rest_v7
10551260,2187,s1,rest_v7
10551262,2253,s1,rest_v7
10551264,2218,s1,rest_v7
10551266,2239,s1,rest_v7
10551268,2192,s1,rest_v7
10551270,2251,s1,rest_v7
10551272,2215,s1,rest_v7
10551274,2240,s1,rest_v7
10551276,2206,s1,rest_v7
10551278,2238,s1,rest_v7
10551280,2211,s1,rest_v7
10551282,2237,s1,rest_v7
10551284,2208,s1,rest_v7
10551286,2207,s1,rest_v7
10551288,2219,s1,rest_v7
10551290,2236,s1,rest_v7
10551292,2221,s1,rest_v7
10551294,2198,s1,rest_v7
10551296,2230,s1,rest_v7
10551298,2226,s1,rest_v7
10551300,2226,s1,rest_v7
10551302,2188,s1,rest_v7
10551304,2246,s1,rest_v7
10551306,2224,s1,rest_v7
10551308,2235,s1,rest_v7
10551310,2186,s1,rest_v7
10551312,2250,s1,rest_v7
10551314,2214,s1,rest_v7
10551316,2231,s1,rest_v7
10551318,2189,s1,rest_v7
10551320,2250,s1,rest_v7
10551322,2212,s1,rest_v7
10551324,2236,s1,rest_v7
10551326,2199,s1,rest_v7
10551328,2227,s1,rest_v7
10551330,2205,s1,rest_v7
10551332,2228,s1,rest_v7
10551334,2207,s1,rest_v7
10551336,2205,s1,rest_v7
10551338,2211,s1,rest_v7
10551340,2226,s1,rest_v7
10551342,2216,s1,rest_v7
10551344,2192,s1,rest_v7
10551346,2227,s1,rest_v7
10551348,2219,s1,rest_v7
10551350,2221,s1,rest_v7
10551352,2174,s1,rest_v7
10551354,2234,s1,rest_v7
10551356,2210,s1,rest_v7
10551358,2224,s1,rest_v7
10551360,2174,s1,rest_v7
10551362,2239,s1,rest_v7
10551364,2205,s1,rest_v7
10551366,2227,s1,rest_v7
10551368,2190,s1,rest_v7
10551370,2243,s1,rest_v7
10551372,2209,s1,rest_v7
10551374,2234,s1,rest_v7
10551376,2199,s1,rest_v7
10551378,2224,s1,rest_v7
10551380,2206,s1,rest_v7
10551382,2231,s1,rest_v7
10551384,2208,s1,rest_v7
10551386,2205,s1,rest_v7
10551388,2214,s1,rest_v7
10551390,2225,s1,rest_v7
10551392,2211,s1,rest_v7
10551394,2191,s1,rest_v7
10551396,2227,s1,rest_v7
10551398,2224,s1,rest_v7
10551400,2221,s1,rest_v7
10551402,2182,s1,rest_v7
10551404,2240,s1,rest_v7
10551406,2224,s1,rest_v7
10551408,2229,s1,rest_v7
10551410,2185,s1,rest_v7
10551412,2247,s1,rest_v7
10551414,2213,s1,rest_v7
10551416,2239,s1,rest_v7
10551418,2194,s1,rest_v7
10551420,2245,s1,rest_v7
10551422,2211,s1,rest_v7
10551424,2236,s1,rest_v7
10551426,2202,s1,rest_v7
10551428,2224,s1,rest_v7
10551430,2205,s1,rest_v7
10551432,2235,s1,rest_v7
10551434,2208,s1,rest_v7
10551436,2202,s1,rest_v7
10551438,2218,s1,rest_v7
10551440,2228,s1,rest_v7
10551442,2220,s1,rest_v7
10551444,2188,s1,rest_v7
10551446,2227,s1,rest_v7
10551448,2218,s1,rest_v7
10551450,2219,s1,rest_v7
10551452,2181,s1,rest_v7
10551454,2245,s1,rest_v7
10551456,2219,s1,rest_v7
10551458,2230,s1,rest_v7
10551460,2183,s1,rest_v7
10551462,2250,s1,rest_v7
10551464,2213,s1,rest_v7
10551466,2231,s1,rest_v7
10551468,2191,s1,rest_v7
10551470,2240,s1,rest_v7
10551472,2214,s1,rest_v7
10551474,2239,s1,rest_v7
10551476,2205,s1,rest_v7
10551478,2224,s1,rest_v7
10551480,2208,s1,rest_v7
10551482,2240,s1,rest_v7
10551484,2211,s1,rest_v7
10551486,2209,s1,rest_v7
10551488,2223,s1,rest_v7
10551490,2230,s1,rest_v7
10551492,2219,s1,rest_v7
10551494,2192,s1,rest_v7
10551496,2227,s1,rest_v7
10551498,2224,s1,rest_v7
10551500,2224,s1,rest_v7
10551502,2180,s1,rest_v7
10551504,2239,s1,rest_v7
10551506,2214,s1,rest_v7
10551508,2230,s1,rest_v7
10551510,2179,s1,rest_v7
10551512,2254,s1,rest_v7
10551514,2210,s1,rest_v7
10551516,2235,s1,rest_v7
10551518,2189,s1,rest_v7
10551520,2242,s1,rest_v7
10551522,2205,s1,rest_v7
10551524,2235,s1,rest_v7
10551526,2204,s1,rest_v7
10551528,2224,s1,rest_v7
10551530,2207,s1,rest_v7
10551532,2235,s1,rest_v7
10551534,2210,s1,rest_v7
10551536,2206,s1,rest_v7
10551538,2223,s1,rest_v7
10551540,2235,s1,rest_v7
10551542,2224,s1,rest_v7
10551544,2193,s1,rest_v7
10551546,2238,s1,rest_v7
10551548,2224,s1,rest_v7
10551550,2226,s1,rest_v7
10551552,2183,s1,rest_v7
10551554,2247,s1,rest_v7
10551556,2227,s1,rest_v7
10551558,2239,s1,rest_v7
10551560,2192,s1,rest_v7
10551562,2254,s1,rest_v7
10551564,2218,s1,rest_v7
10551566,2240,s1,rest_v7
10551568,2197,s1,rest_v7
10551570,2240,s1,rest_v7
10551572,2213,s1,rest_v7
10551574,2235,s1,rest_v7
10551576,2206,s1,rest_v7
10551578,2224,s1,rest_v7
10551580,2210,s1,rest_v7
10551582,2237,s1,rest_v7
10551584,2209,s1,rest_v7
10551586,2205,s1,rest_v7
10551588,2224,s1,rest_v7
10551590,2226,s1,rest_v7
10551592,2219,s1,rest_v7
10551594,2190,s1,rest_v7
10551596,2227,s1,rest_v7
10551598,2224,s1,rest_v7
10551600,2224,s1,rest_v7
10551602,2183,s1,rest_v7
10551604,2250,s1,rest_v7
10551606,2219,s1,rest_v7
10551608,2231,s1,rest_v7
10551610,2187,s1,rest_v7
10551612,2252,s1,rest_v7
10551614,2211,s1,rest_v7
10551616,2237,s1,rest_v7
10551618,2192,s1,rest_v7
