t_ms,raw,subject,gesture
10203532,1793,s1,grip_v6
10203534,1840,s1,grip_v6
10203536,1903,s1,grip_v6
10203538,1954,s1,grip_v6
10203540,1878,s1,grip_v6
10203542,1935,s1,grip_v6
10203544,1878,s1,grip_v6
10203546,1847,s1,grip_v6
10203548,1856,s1,grip_v6
10203550,1933,s1,grip_v6
10203552,2097,s1,grip_v6
10203554,2295,s1,grip_v6
10203556,2384,s1,grip_v6
10203558,2387,s1,grip_v6
10203560,2340,s1,grip_v6
10203562,2299,s1,grip_v6
10203564,2240,s1,grip_v6
10203566,2180,s1,grip_v6
10203568,2147,s1,grip_v6
10203570,2150,s1,grip_v6
10203572,2141,s1,grip_v6
10203574,2107,s1,grip_v6
10203576,2112,s1,grip_v6
10203578,2116,s1,grip_v6
10203580,2114,s1,grip_v6
10203582,2063,s1,grip_v6
10203584,2075,s1,grip_v6
10203586,2099,s1,grip_v6
10203588,2246,s1,grip_v6
10203590,2254,s1,grip_v6
10203592,2199,s1,grip_v6
10203594,2218,s1,grip_v6
10203596,2223,s1,grip_v6
10203598,2199,s1,grip_v6
10203600,2315,s1,grip_v6
10203602,2331,s1,grip_v6
10203604,2362,s1,grip_v6
10203606,2368,s1,grip_v6
10203608,2349,s1,grip_v6
10203610,2269,s1,grip_v6
10203612,2214,s1,grip_v6
10203614,2133,s1,grip_v6
10203616,2064,s1,grip_v6
10203618,2000,s1,grip_v6
10203620,2028,s1,grip_v6
10203622,1951,s1,grip_v6
10203624,1922,s1,grip_v6
10203626,1931,s1,grip_v6
10203628,1904,s1,grip_v6
10203630,1829,s1,grip_v6
10203632,1856,s1,grip_v6
10203634,1904,s1,grip_v6
10203636,1922,s1,grip_v6
10203638,1894,s1,grip_v6
10203640,1876,s1,grip_v6
10203642,1902,s1,grip_v6
10203644,1875,s1,grip_v6
10203646,1930,s1,grip_v6
10203648,1979,s1,grip_v6
10203650,1981,s1,grip_v6
10203652,1970,s1,grip_v6
10203654,1893,s1,grip_v6
10203656,1835,s1,grip_v6
10203658,1831,s1,grip_v6
10203660,1808,s1,grip_v6
10203662,1798,s1,grip_v6
10203664,1735,s1,grip_v6
10203666,1714,s1,grip_v6
10203668,1790,s1,grip_v6
10203670,1776,s1,grip_v6
10203672,1843,s1,grip_v6
10203674,1890,s1,grip_v6
10203676,1872,s1,grip_v6
10203678,1853,s1,grip_v6
10203680,1860,s1,grip_v6
10203682,1917,s1,grip_v6
10203684,1975,s1,grip_v6
10203686,2001,s1,grip_v6
10203688,2111,s1,grip_v6
10203690,2202,s1,grip_v6
10203692,2178,s1,grip_v6
10203694,2256,s1,grip_v6
10203696,2335,s1,grip_v6
10203698,2292,s1,grip_v6
10203700,2338,s1,grip_v6
10203702,2291,s1,grip_v6
10203704,2288,s1,grip_v6
10203706,2227,s1,grip_v6
10203708,2331,s1,grip_v6
10203710,2429,s1,grip_v6
10203712,2438,s1,grip_v6
10203714,2507,s1,grip_v6
10203716,2484,s1,grip_v6
10203718,2432,s1,grip_v6
10203720,2399,s1,grip_v6
10203722,2322,s1,grip_v6
10203724,2247,s1,grip_v6
