t_ms,raw,subject,gesture
1590940,0,s2,rest
1590950,0,s2,rest
1590960,0,s2,rest
1590970,0,s2,rest
1590980,0,s2,rest
1590990,0,s2,rest
1591000,0,s2,rest
1591010,0,s2,rest
1591020,0,s2,rest
1591030,0,s2,rest
1591040,0,s2,rest
1591050,0,s2,rest
1591060,0,s2,rest
1591070,0,s2,rest
1591080,0,s2,rest
1591090,0,s2,rest
1591100,0,s2,rest
1591110,0,s2,rest
1591120,0,s2,rest
1591130,0,s2,rest
1591140,0,s2,rest
1591150,0,s2,rest
1591160,0,s2,rest
1591170,0,s2,rest
1591180,0,s2,rest
1591190,0,s2,rest
1591200,0,s2,rest
1591210,0,s2,rest
1591220,0,s2,rest
1591230,0,s2,rest
1591240,0,s2,rest
1591250,0,s2,rest
1591260,0,s2,rest
1591270,0,s2,rest
1591280,0,s2,rest
1591290,0,s2,rest
1591300,0,s2,rest
1591310,0,s2,rest
1591320,0,s2,rest
1591330,0,s2,rest
1591340,0,s2,rest
1591350,0,s2,rest
1591360,0,s2,rest
1591370,0,s2,rest
1591380,0,s2,rest
1591390,0,s2,rest
1591400,0,s2,rest
1591410,0,s2,rest
1591420,0,s2,rest
1591430,0,s2,rest
1591440,0,s2,rest
1591450,0,s2,rest
1591460,0,s2,rest
1591470,0,s2,rest
1591480,0,s2,rest
1591490,0,s2,rest
1591500,0,s2,rest
1591510,0,s2,rest
1591520,0,s2,rest
1591530,0,s2,rest
1591540,0,s2,rest
1591550,0,s2,rest
1591560,0,s2,rest
1591570,0,s2,rest
1591580,0,s2,rest
1591590,0,s2,rest
1591600,0,s2,rest
1591610,0,s2,rest
1591620,0,s2,rest
1591630,0,s2,rest
1591640,0,s2,rest
1591650,0,s2,rest
1591660,0,s2,rest
1591670,0,s2,rest
1591680,0,s2,rest
1591690,0,s2,rest
1591700,0,s2,rest
1591710,0,s2,rest
1591720,0,s2,rest
1591730,0,s2,rest
1591740,0,s2,rest
1591750,0,s2,rest
1591760,0,s2,rest
1591770,0,s2,rest
1591780,0,s2,rest
1591790,0,s2,rest
1591800,0,s2,rest
1591810,0,s2,rest
1591820,0,s2,rest
1591830,0,s2,rest
1591840,0,s2,rest
1591850,0,s2,rest
1591860,0,s2,rest
1591870,0,s2,rest
1591880,0,s2,rest
1591890,0,s2,rest
1591900,0,s2,rest
1591910,0,s2,rest
1591920,0,s2,rest
1591930,0,s2,rest
1591940,0,s2,rest
1591950,0,s2,rest
1591960,0,s2,rest
1591970,0,s2,rest
1591980,0,s2,rest
1591990,0,s2,rest
1592000,0,s2,rest
1592010,0,s2,rest
1592020,0,s2,rest
1592030,0,s2,rest
1592040,0,s2,rest
1592050,0,s2,rest
1592060,0,s2,rest
1592070,0,s2,rest
1592080,0,s2,rest
1592090,0,s2,rest
1592100,0,s2,rest
1592110,0,s2,rest
1592120,0,s2,rest
1592130,0,s2,rest
1592140,0,s2,rest
1592150,0,s2,rest
1592160,0,s2,rest
1592170,0,s2,rest
1592180,0,s2,rest
1592190,0,s2,rest
1592200,0,s2,rest
1592210,0,s2,rest
1592220,0,s2,rest
1592230,0,s2,rest
1592240,0,s2,rest
1592250,0,s2,rest
1592260,0,s2,rest
1592270,0,s2,rest
1592280,0,s2,rest
1592290,0,s2,rest
1592300,0,s2,rest
1592310,0,s2,rest
1592320,0,s2,rest
1592330,0,s2,rest
1592340,0,s2,rest
1592350,0,s2,rest
1592360,0,s2,rest
1592370,0,s2,rest
1592380,0,s2,rest
1592390,0,s2,rest
1592400,0,s2,rest
1592410,0,s2,rest
1592420,0,s2,rest
1592430,0,s2,rest
1592440,0,s2,rest
1592450,0,s2,rest
1592460,0,s2,rest
1592470,0,s2,rest
1592480,0,s2,rest
1592490,0,s2,rest
1592500,0,s2,rest
1592510,0,s2,rest
1592520,0,s2,rest
1592530,0,s2,rest
1592540,0,s2,rest
1592550,0,s2,rest
1592560,0,s2,rest
1592570,0,s2,rest
1592580,0,s2,rest
1592590,0,s2,rest
1592600,0,s2,rest
1592610,0,s2,rest
1592620,0,s2,rest
1592630,0,s2,rest
1592640,0,s2,rest
1592650,0,s2,rest
1592660,0,s2,rest
1592670,0,s2,rest
1592680,0,s2,rest
1592690,0,s2,rest
1592700,0,s2,rest
1592710,0,s2,rest
1592720,0,s2,rest
1592730,0,s2,rest
1592740,0,s2,rest
1592750,0,s2,rest
1592760,0,s2,rest
1592770,0,s2,rest
1592780,0,s2,rest
1592790,0,s2,rest
1592800,0,s2,rest
1592810,0,s2,rest
1592820,0,s2,rest
1592830,0,s2,rest
1592840,0,s2,rest
1592850,0,s2,rest
1592860,0,s2,rest
1592870,0,s2,rest
1592880,0,s2,rest
1592890,0,s2,rest
1592900,0,s2,rest
1592910,0,s2,rest
1592920,0,s2,rest
1592930,0,s2,rest
1592940,0,s2,rest
1592950,0,s2,rest
1592960,0,s2,rest
1592970,0,s2,rest
1592980,0,s2,rest
