t_ms,raw,subject,gesture
2120920,0,s3,rest
2120930,0,s3,rest
2120940,0,s3,rest
2120950,0,s3,rest
2120960,0,s3,rest
2120970,0,s3,rest
2120980,0,s3,rest
2120990,0,s3,rest
2121000,0,s3,rest
2121010,0,s3,rest
2121020,0,s3,rest
2121030,0,s3,rest
2121040,0,s3,rest
2121050,0,s3,rest
2121060,0,s3,rest
2121070,0,s3,rest
2121080,0,s3,rest
2121090,0,s3,rest
2121100,0,s3,rest
2121110,0,s3,rest
2121120,0,s3,rest
2121130,0,s3,rest
2121140,0,s3,rest
2121150,0,s3,rest
2121160,0,s3,rest
2121170,0,s3,rest
2121180,0,s3,rest
2121190,0,s3,rest
2121200,0,s3,rest
2121210,0,s3,rest
2121220,0,s3,rest
2121230,0,s3,rest
2121240,0,s3,rest
2121250,0,s3,rest
2121260,0,s3,rest
2121270,0,s3,rest
2121280,0,s3,rest
2121290,0,s3,rest
2121300,0,s3,rest
2121310,0,s3,rest
2121320,0,s3,rest
2121330,0,s3,rest
2121340,0,s3,rest
2121350,0,s3,rest
2121360,0,s3,rest
2121370,0,s3,rest
2121380,0,s3,rest
2121390,0,s3,rest
2121400,0,s3,rest
2121410,0,s3,rest
2121420,0,s3,rest
2121430,0,s3,rest
2121440,0,s3,rest
2121450,0,s3,rest
2121460,0,s3,rest
2121470,0,s3,rest
2121480,0,s3,rest
2121490,0,s3,rest
2121500,0,s3,rest
2121510,0,s3,rest
2121520,0,s3,rest
2121530,0,s3,rest
2121540,0,s3,rest
2121550,0,s3,rest
2121560,0,s3,rest
2121570,0,s3,rest
2121580,0,s3,rest
2121590,0,s3,rest
2121600,0,s3,rest
2121610,0,s3,rest
2121620,0,s3,rest
2121630,0,s3,rest
2121640,0,s3,rest
2121650,0,s3,rest
2121660,0,s3,rest
2121670,0,s3,rest
2121680,0,s3,rest
2121690,0,s3,rest
2121700,0,s3,rest
2121710,0,s3,rest
2121720,0,s3,rest
2121730,0,s3,rest
2121740,0,s3,rest
2121750,0,s3,rest
2121760,0,s3,rest
2121770,0,s3,rest
2121780,0,s3,rest
2121790,0,s3,rest
2121800,0,s3,rest
2121810,0,s3,rest
2121820,0,s3,rest
2121830,0,s3,rest
2121840,0,s3,rest
2121850,0,s3,rest
2121860,0,s3,rest
2121870,0,s3,rest
2121880,0,s3,rest
2121890,0,s3,rest
2121900,0,s3,rest
2121910,0,s3,rest
2121920,0,s3,rest
2121930,0,s3,rest
2121940,0,s3,rest
2121950,0,s3,rest
2121960,0,s3,rest
2121970,0,s3,rest
2121980,0,s3,rest
2121990,0,s3,rest
2122000,0,s3,rest
2122010,0,s3,rest
2122020,0,s3,rest
2122030,0,s3,rest
2122040,0,s3,rest
2122050,0,s3,rest
2122060,0,s3,rest
2122070,0,s3,rest
2122080,0,s3,rest
2122090,0,s3,rest
2122100,0,s3,rest
2122110,0,s3,rest
2122120,0,s3,rest
2122130,0,s3,rest
2122140,0,s3,rest
2122150,0,s3,rest
2122160,0,s3,rest
2122170,0,s3,rest
2122180,0,s3,rest
2122190,0,s3,rest
2122200,0,s3,rest
2122210,0,s3,rest
2122220,0,s3,rest
2122230,0,s3,rest
2122240,0,s3,rest
2122250,0,s3,rest
2122260,0,s3,rest
2122270,0,s3,rest
2122280,0,s3,rest
2122290,0,s3,rest
2122300,0,s3,rest
2122310,0,s3,rest
2122320,0,s3,rest
2122330,0,s3,rest
2122340,0,s3,rest
2122350,0,s3,rest
2122360,0,s3,rest
2122370,0,s3,rest
2122380,0,s3,rest
2122390,0,s3,rest
2122400,0,s3,rest
2122410,0,s3,rest
2122420,0,s3,rest
2122430,0,s3,rest
2122440,0,s3,rest
2122450,0,s3,rest
2122460,0,s3,rest
2122470,0,s3,rest
2122480,0,s3,rest
2122490,0,s3,rest
2122500,0,s3,rest
2122510,0,s3,rest
2122520,0,s3,rest
2122530,0,s3,rest
2122540,0,s3,rest
2122550,0,s3,rest
2122560,0,s3,rest
2122570,0,s3,rest
2122580,0,s3,rest
2122590,0,s3,rest
2122600,0,s3,rest
2122610,0,s3,rest
2122620,0,s3,rest
2122630,0,s3,rest
2122640,0,s3,rest
2122650,0,s3,rest
2122660,0,s3,rest
2122670,0,s3,rest
2122680,0,s3,rest
2122690,0,s3,rest
2122700,0,s3,rest
2122710,0,s3,rest
2122720,0,s3,rest
2122730,0,s3,rest
2122740,0,s3,rest
