t_ms,raw,subject,gesture
933290,0,s1,grip
933300,0,s1,grip
933310,0,s1,grip
933320,0,s1,grip
933330,0,s1,grip
933340,0,s1,grip
933350,0,s1,grip
933360,0,s1,grip
933370,0,s1,grip
933380,0,s1,grip
933390,0,s1,grip
933400,0,s1,grip
933410,0,s1,grip
933420,0,s1,grip
933430,0,s1,grip
933440,0,s1,grip
933450,0,s1,grip
933460,0,s1,grip
933470,0,s1,grip
933480,0,s1,grip
933490,0,s1,grip
933500,0,s1,grip
933510,0,s1,grip
933520,0,s1,grip
933530,0,s1,grip
933540,0,s1,grip
933550,0,s1,grip
933560,0,s1,grip
933570,0,s1,grip
933580,0,s1,grip
933590,0,s1,grip
933600,0,s1,grip
933610,0,s1,grip
933620,0,s1,grip
933630,0,s1,grip
933640,0,s1,grip
933650,0,s1,grip
933660,0,s1,grip
933670,0,s1,grip
933680,0,s1,grip
933690,0,s1,grip
933700,0,s1,grip
933710,0,s1,grip
933720,0,s1,grip
933730,0,s1,grip
933740,0,s1,grip
933750,0,s1,grip
933760,0,s1,grip
933770,0,s1,grip
933780,0,s1,grip
933790,0,s1,grip
933800,0,s1,grip
933810,0,s1,grip
933820,0,s1,grip
933830,0,s1,grip
933840,0,s1,grip
933850,0,s1,grip
933860,0,s1,grip
933870,0,s1,grip
933880,0,s1,grip
933890,0,s1,grip
933900,0,s1,grip
933910,0,s1,grip
933920,0,s1,grip
933930,0,s1,grip
933940,0,s1,grip
933950,0,s1,grip
933960,0,s1,grip
933970,0,s1,grip
933980,0,s1,grip
933990,0,s1,grip
934000,0,s1,grip
934010,0,s1,grip
934020,0,s1,grip
934030,0,s1,grip
934040,0,s1,grip
934050,195,s1,grip
934060,291,s1,grip
934070,319,s1,grip
934080,496,s1,grip
934090,237,s1,grip
934100,366,s1,grip
934110,256,s1,grip
934120,181,s1,grip
934130,416,s1,grip
934140,141,s1,grip
934150,279,s1,grip
934160,161,s1,grip
934170,31,s1,grip
934180,112,s1,grip
934190,0,s1,grip
934200,0,s1,grip
934210,0,s1,grip
934220,0,s1,grip
934230,0,s1,grip
934240,0,s1,grip
934250,0,s1,grip
934260,0,s1,grip
934270,0,s1,grip
934280,0,s1,grip
934290,0,s1,grip
934300,0,s1,grip
934310,0,s1,grip
934320,0,s1,grip
934330,0,s1,grip
934340,0,s1,grip
934350,0,s1,grip
934360,0,s1,grip
934370,0,s1,grip
934380,0,s1,grip
934390,0,s1,grip
934400,0,s1,grip
934410,0,s1,grip
934420,0,s1,grip
934430,0,s1,grip
934440,0,s1,grip
934450,0,s1,grip
934460,0,s1,grip
934470,0,s1,grip
934480,66,s1,grip
934490,0,s1,grip
934500,0,s1,grip
934510,26,s1,grip
934520,0,s1,grip
934530,257,s1,grip
934540,0,s1,grip
934550,22,s1,grip
934560,53,s1,grip
934570,0,s1,grip
934580,403,s1,grip
934590,693,s1,grip
934600,2658,s1,grip
934610,2209,s1,grip
934620,41,s1,grip
934630,1124,s1,grip
934640,864,s1,grip
934650,1371,s1,grip
934660,3758,s1,grip
934670,4095,s1,grip
934680,3914,s1,grip
934690,2327,s1,grip
934700,2839,s1,grip
934710,2026,s1,grip
934720,262,s1,grip
934730,2177,s1,grip
934740,2587,s1,grip
934750,2559,s1,grip
934760,2701,s1,grip
934770,2668,s1,grip
934780,3466,s1,grip
934790,2608,s1,grip
934800,4046,s1,grip
934810,2989,s1,grip
934820,2527,s1,grip
934830,2832,s1,grip
934840,1676,s1,grip
934850,2061,s1,grip
934860,1402,s1,grip
934870,1200,s1,grip
934880,1342,s1,grip
934890,67,s1,grip
934900,1035,s1,grip
934910,168,s1,grip
934920,0,s1,grip
934930,1147,s1,grip
934940,354,s1,grip
934950,743,s1,grip
934960,270,s1,grip
934970,10,s1,grip
934980,625,s1,grip
934990,0,s1,grip
935000,528,s1,grip
935010,217,s1,grip
935020,0,s1,grip
935030,592,s1,grip
935040,0,s1,grip
935050,384,s1,grip
935060,193,s1,grip
935070,0,s1,grip
935080,630,s1,grip
935090,0,s1,grip
935100,378,s1,grip
935110,191,s1,grip
935120,0,s1,grip
935130,573,s1,grip
935140,0,s1,grip
935150,349,s1,grip
935160,193,s1,grip
