t_ms,raw,subject,gesture
628970,0,s1,rest
628980,0,s1,rest
628990,0,s1,rest
629000,0,s1,rest
629010,0,s1,rest
629020,0,s1,rest
629030,0,s1,rest
629040,0,s1,rest
629050,0,s1,rest
629060,0,s1,rest
629070,0,s1,rest
629080,0,s1,rest
629090,0,s1,rest
629100,0,s1,rest
629110,0,s1,rest
629120,0,s1,rest
629130,0,s1,rest
629140,0,s1,rest
629150,0,s1,rest
629160,0,s1,rest
629170,0,s1,rest
629180,0,s1,rest
629190,0,s1,rest
629200,0,s1,rest
629210,0,s1,rest
629220,0,s1,rest
629230,0,s1,rest
629240,0,s1,rest
629250,0,s1,rest
629260,0,s1,rest
629270,0,s1,rest
629280,0,s1,rest
629290,0,s1,rest
629300,0,s1,rest
629310,0,s1,rest
629320,0,s1,rest
629330,0,s1,rest
629340,0,s1,rest
629350,0,s1,rest
629360,0,s1,rest
629370,0,s1,rest
629380,0,s1,rest
629390,0,s1,rest
629400,0,s1,rest
629410,0,s1,rest
629420,0,s1,rest
629430,0,s1,rest
629440,0,s1,rest
629450,0,s1,rest
629460,0,s1,rest
629470,0,s1,rest
629480,0,s1,rest
629490,0,s1,rest
629500,0,s1,rest
629510,0,s1,rest
629520,0,s1,rest
629530,0,s1,rest
629540,0,s1,rest
629550,0,s1,rest
629560,0,s1,rest
629570,0,s1,rest
629580,0,s1,rest
629590,0,s1,rest
629600,0,s1,rest
629610,0,s1,rest
629620,0,s1,rest
629630,0,s1,rest
629640,0,s1,rest
629650,0,s1,rest
629660,0,s1,rest
629670,0,s1,rest
629680,0,s1,rest
629690,0,s1,rest
629700,0,s1,rest
629710,0,s1,rest
629720,0,s1,rest
629730,0,s1,rest
629740,0,s1,rest
629750,0,s1,rest
629760,0,s1,rest
629770,0,s1,rest
629780,0,s1,rest
629790,0,s1,rest
629800,0,s1,rest
629810,0,s1,rest
629820,0,s1,rest
629830,0,s1,rest
629840,0,s1,rest
629850,0,s1,rest
629860,0,s1,rest
629870,0,s1,rest
629880,0,s1,rest
629890,0,s1,rest
629900,0,s1,rest
629910,0,s1,rest
629920,0,s1,rest
629930,0,s1,rest
629940,0,s1,rest
629950,0,s1,rest
629960,0,s1,rest
629970,0,s1,rest
629980,0,s1,rest
629990,0,s1,rest
630000,0,s1,rest
630010,0,s1,rest
630020,0,s1,rest
630030,0,s1,rest
630040,0,s1,rest
630050,0,s1,rest
630060,0,s1,rest
630070,0,s1,rest
630080,0,s1,rest
630090,0,s1,rest
630100,0,s1,rest
630110,0,s1,rest
630120,0,s1,rest
630130,0,s1,rest
630140,0,s1,rest
630150,0,s1,rest
630160,0,s1,rest
630170,0,s1,rest
630180,0,s1,rest
630190,0,s1,rest
630200,0,s1,rest
630210,0,s1,rest
630220,0,s1,rest
630230,0,s1,rest
630240,0,s1,rest
630250,0,s1,rest
630260,0,s1,rest
630270,0,s1,rest
630280,0,s1,rest
630290,0,s1,rest
630300,0,s1,rest
630310,0,s1,rest
630320,0,s1,rest
630330,0,s1,rest
630340,0,s1,rest
630350,0,s1,rest
630360,0,s1,rest
630370,0,s1,rest
630380,0,s1,rest
630390,0,s1,rest
630400,0,s1,rest
630410,0,s1,rest
630420,0,s1,rest
630430,0,s1,rest
630440,0,s1,rest
630450,0,s1,rest
630460,0,s1,rest
630470,0,s1,rest
630480,0,s1,rest
630490,0,s1,rest
630500,0,s1,rest
630510,0,s1,rest
630520,0,s1,rest
630530,0,s1,rest
630540,0,s1,rest
630550,0,s1,rest
630560,0,s1,rest
630570,0,s1,rest
630580,0,s1,rest
630590,0,s1,rest
630600,0,s1,rest
630610,0,s1,rest
630620,0,s1,rest
630630,0,s1,rest
630640,0,s1,rest
630650,0,s1,rest
630660,0,s1,rest
630670,0,s1,rest
630680,0,s1,rest
630690,0,s1,rest
630700,0,s1,rest
630710,0,s1,rest
630720,0,s1,rest
630730,0,s1,rest
630740,0,s1,rest
630750,0,s1,rest
630760,0,s1,rest
630770,0,s1,rest
630780,0,s1,rest
630790,0,s1,rest
630800,0,s1,rest
630810,0,s1,rest
630820,0,s1,rest
630830,0,s1,rest
630840,0,s1,rest
630850,0,s1,rest
630860,0,s1,rest
630870,0,s1,rest
630880,0,s1,rest
630890,0,s1,rest
630900,0,s1,rest
630910,0,s1,rest
630920,0,s1,rest
630930,0,s1,rest
630940,0,s1,rest
630950,0,s1,rest
630960,0,s1,rest
630970,0,s1,rest
630980,0,s1,rest
630990,0,s1,rest
631000,0,s1,rest
631010,0,s1,rest
631020,0,s1,rest
631030,0,s1,rest
631040,0,s1,rest
631050,0,s1,rest
631060,0,s1,rest
631070,0,s1,rest
631080,0,s1,rest
631090,0,s1,rest
631100,0,s1,rest
631110,0,s1,rest
631120,0,s1,rest
631130,0,s1,rest
631140,0,s1,rest
631150,0,s1,rest
631160,0,s1,rest
631170,0,s1,rest
631180,0,s1,rest
631190,0,s1,rest
631200,0,s1,rest
631210,0,s1,rest
631220,0,s1,rest
631230,0,s1,rest
631240,0,s1,rest
631250,0,s1,rest
631260,0,s1,rest
631270,0,s1,rest
631280,0,s1,rest
631290,0,s1,rest
631300,0,s1,rest
631310,0,s1,rest
631320,0,s1,rest
631330,0,s1,rest
631340,0,s1,rest
631350,0,s1,rest
631360,0,s1,rest
631370,0,s1,rest
631380,0,s1,rest
631390,0,s1,rest
631400,0,s1,rest
631410,0,s1,rest
631420,0,s1,rest
631430,0,s1,rest
631440,0,s1,rest
631450,0,s1,rest
631460,0,s1,rest
631470,0,s1,rest
631480,0,s1,rest
631490,0,s1,rest
631500,0,s1,rest
631510,0,s1,rest
631520,0,s1,rest
631530,0,s1,rest
631540,0,s1,rest
631550,0,s1,rest
631560,0,s1,rest
631570,0,s1,rest
631580,0,s1,rest
631590,0,s1,rest
631600,0,s1,rest
631610,0,s1,rest
631620,0,s1,rest
631630,0,s1,rest
631640,0,s1,rest
631650,0,s1,rest
631660,0,s1,rest
631670,0,s1,rest
631680,0,s1,rest
631690,0,s1,rest
631700,0,s1,rest
631710,0,s1,rest
631720,0,s1,rest
631730,0,s1,rest
631740,0,s1,rest
631750,0,s1,rest
631760,0,s1,rest
631770,0,s1,rest
631780,0,s1,rest
631790,0,s1,rest
631800,0,s1,rest
631810,0,s1,rest
631820,0,s1,rest
631830,0,s1,rest
631840,0,s1,rest
631850,0,s1,rest
631860,0,s1,rest
631870,0,s1,rest
631880,0,s1,rest
631890,0,s1,rest
